combination:,0
12731,124999,-2.0
12731,124999,-2000
12731,0,-1500
12590,350,0
12448,148,0
12307,116,0
12166,99,0
12024,88,0
11883,81,0
11741,75,0
11600,71,0
11458,67,0
11317,64,0
11175,61,0
11034,59,0
10892,57,0
10751,56,0
10609,54,0
10468,53,0
10326,52,0
10185,51,0
10044,50,0
9902,49,0
9761,49,0
9619,48,0
9478,47,0
9336,46,0
9195,46,0
9053,45,0
8912,45,0
8770,45,0
8629,45,0
8487,44,0
8346,44,0
8204,43,0
8063,44,0
7922,43,0
7780,43,0
7639,43,0
7497,43,0
7356,43,0
7214,43,0
7073,43,0
6931,43,0
6790,43,0
6648,43,0
6507,43,0
6365,43,0
6224,43,0
6083,43,0
5941,43,0
5800,44,0
5658,44,0
5517,44,0
5375,44,0
5234,45,0
5092,45,0
4951,46,0
4809,46,0
4668,47,0
4526,47,0
4385,48,0
4243,48,0
4102,49,0
3961,50,0
3819,51,0
3678,52,0
3536,53,0
3395,55,0
3253,56,0
3112,58,0
2970,59,0
2829,62,0
2687,64,0
2546,67,0
2404,70,0
2263,75,0
2121,80,0
1980,88,0
1839,99,0
1697,115,0
1556,149,0
1414,348,0
1414,0,-2000
1557,347,1
1701,147,1
1844,115,1
1987,99,1
2130,88,1
2274,80,1
2417,75,1
2560,70,1
2703,67,1
2847,63,1
2990,61,1
3133,59,1
3276,57,1
3420,55,1
3563,54,1
3706,53,1
3850,51,1
3993,51,1
4136,50,1
4279,49,1
4423,48,1
4566,48,1
4709,47,1
4852,46,1
4996,46,1
5139,45,1
5282,45,1
5425,45,1
5569,44,1
5712,44,1
5855,44,1
5998,44,1
6142,43,1
6285,43,1
6428,43,1
6571,43,1
6715,43,1
6858,43,1
7001,43,1
7144,43,1
7288,42,1
7431,43,1
7574,43,1
7717,43,1
7861,43,1
8004,43,1
8147,43,1
8290,44,1
8434,44,1
8577,44,1
8720,44,1
8863,45,1
9007,45,1
9150,45,1
9293,46,1
9436,46,1
9580,47,1
9723,48,1
9866,48,1
10010,49,1
10153,50,1
10296,51,1
10439,52,1
10583,53,1
10726,54,1
10869,56,1
11012,57,1
11156,59,1
11299,61,1
11442,64,1
11585,67,1
11729,70,1
11872,75,1
12015,80,1
12158,88,1
12302,98,1
12445,115,1
12588,148,1
12731,347,1
