combination:,0
2263,124999,-2.0
2263,124999,-2000
2263,0,-10000
2117,1343,0
1971,611,0
1824,493,0
1678,442,0
1532,410,0
1386,392,0
1240,382,0
1093,376,0
947,382,0
801,392,0
655,410,0
509,442,0
363,497,0
216,605,0
70,1343,0
216,685,1
363,309,1
509,252,1
655,225,1
801,209,1
947,199,1
1093,194,1
1240,191,1
1386,194,1
1532,199,1
1678,209,1
1824,225,1
1971,251,1
2117,310,1
2263,685,1
2263,0,-2500
2263,0,-1300
2117,228,0
1971,102,0
1824,83,0
1678,74,0
1532,68,0
1386,65,0
1240,64,0
1093,63,0
947,64,0
801,65,0
655,68,0
509,74,0
363,83,0
216,102,0
70,228,0
227,168,1
383,76,1
540,61,1
697,55,1
853,51,1
1010,49,1
1167,48,1
1323,48,1
1480,49,1
1636,51,1
1793,55,1
1950,61,1
2106,76,1
2263,168,1
2263,0,-10000
2263,0,-2500
