combination:,0
848,124999,-2.0
848,124999,-2000
990,738,1
1131,321,1
1273,251,1
1414,217,1
1556,194,1
1697,179,1
1839,167,1
1980,159,1
2121,151,1
2263,144,1
2404,141,1
2546,135,1
2687,133,1
2829,129,1
2970,127,1
3112,124,1
3253,123,1
3395,121,1
3536,120,1
3678,118,1
3819,118,1
3961,117,1
4102,117,1
4243,117,1
4385,116,1
4526,117,1
4668,116,1
4809,117,1
4951,117,1
5092,118,1
5234,118,1
5375,120,1
5517,121,1
5658,123,1
5800,124,1
5941,127,1
6083,129,1
6224,133,1
6365,136,1
6507,140,1
6648,145,1
6790,150,1
6931,159,1
7073,167,1
7214,179,1
7356,194,1
7497,217,1
7639,251,1
7780,321,1
7922,738,1
7780,738,0
7639,321,0
7497,251,0
7356,217,0
7214,194,0
7073,179,0
6931,167,0
6790,159,0
6648,150,0
6507,145,0
6365,140,0
6224,136,0
6083,133,0
5941,129,0
5800,127,0
5658,124,0
5517,123,0
5375,121,0
5234,120,0
5092,118,0
4951,118,0
4809,117,0
4668,117,0
4526,116,0
4385,117,0
4243,116,0
4102,117,0
3961,117,0
3819,117,0
3678,118,0
3536,118,0
3395,120,0
3253,121,0
3112,123,0
2970,124,0
2829,127,0
2687,129,0
2546,133,0
2404,135,0
2263,141,0
2121,144,0
1980,151,0
1839,159,0
1697,167,0
1556,179,0
1414,194,0
1273,217,0
1131,251,0
990,321,0
848,738,0
990,376,1
1131,163,1
1273,127,1
1414,110,1
1556,98,1
1697,91,1
1839,84,1
1980,80,1
2121,76,1
2263,73,1
2404,71,1
2546,68,1
2687,67,1
2829,65,1
2970,64,1
3112,63,1
3253,62,1
3395,61,1
3536,61,1
3678,60,1
3819,60,1
3961,59,1
4102,59,1
4243,59,1
4385,58,1
4526,59,1
4668,58,1
4809,59,1
4951,59,1
5092,60,1
5234,60,1
5375,61,1
5517,61,1
5658,62,1
5800,63,1
5941,64,1
6083,65,1
6224,67,1
6365,69,1
6507,70,1
6648,73,1
6790,76,1
6931,80,1
7073,84,1
7214,91,1
7356,98,1
7497,110,1
7639,127,1
7780,163,1
7922,376,1
7922,0,-2500
7922,0,-1300
7922,0,-1699
7922,0,-1299
7777,729,0
7633,317,0
7488,248,0
7344,215,0
7200,193,0
7055,176,0
6911,166,0
6767,157,0
6622,149,0
6478,144,0
6334,139,0
6189,135,0
6045,132,0
5901,129,0
5756,126,0
5612,125,0
5468,123,0
5323,120,0
5179,120,0
5035,119,0
4890,117,0
4746,117,0
4601,116,0
4457,117,0
4313,117,0
4168,116,0
4024,117,0
3880,117,0
3735,117,0
3591,119,0
3447,120,0
3302,120,0
3158,123,0
3014,125,0
2869,126,0
2725,129,0
2581,132,0
2436,135,0
2292,139,0
2147,143,0
2003,150,0
1859,157,0
1714,165,0
1570,178,0
1426,193,0
1281,213,0
1137,250,0
993,317,0
848,729,0
848,0,-2500
